objective,explanation,lecture_id,include,category
Describe the role of education in healthcare (BASK),,Session Outline: HEP - Behaviour change lifestyle and motivation,n,
"Understand the importance of enabling strategies such as: – ADEPT model of changing habits – Motivational interviewing – Goal setting, with particular reference to the SMART model – Prochaska-Di Clemente model of behaviour change",,Session Outline: HEP - Behaviour change lifestyle and motivation,n,
"Integrate this knowledge with weekly cases – E.g. immunity, cancer and heart disease",,Session Outline: HEP - Behaviour change lifestyle and motivation,n,
Understand how lifestyle programs are integrated in healthcare 16,,Session Outline: HEP - Behaviour change lifestyle and motivation,n,
"Appreciate how knowledge of genetics and genomics can inform the understanding of, and impact the practice of medicine",,Relevance of Genetics Genomics to Medicine,y,Biochemistry
"Understand how genomics/genetics informs disease characterization, diagnostics, molecular pathology, pharmacogenomics, gene therapy, biotechnology applications, etc.",,Relevance of Genetics Genomics to Medicine,y,Biochemistry
"Reflect upon some ethical issues that new developments in genetics and genomics may raise health in terms of health and wellbeing of patients, families and communities",,Relevance of Genetics Genomics to Medicine,y,Biochemistry
"Understand the definition, distribution, characteristics and functions of epithelia",,Epithelium,y,Anatomy
Understand the different types of epithelia found throughout the body,,Epithelium,y,Anatomy
"Understand the structure and function of specialisations at the apical, lateral and basal surfaces of epithelia",,Epithelium,y,Anatomy
Appreciate that both exocrine and endocrine glands are derived from epithelia 17,,Epithelium,y,Anatomy
"Define development and ageing, and their relationship to each other",,Session Outline: HD – Theories of human development,n,
List and illustrate the seven key assumptions of the modern lifespan perspective,,Session Outline: HD – Theories of human development,n,
Outline the four issues addressed by theories of human development,,Session Outline: HD – Theories of human development,n,
Summarise the three parts of the personality and the five psychosexual stages in Freud's psychoanalytic theory,,Session Outline: HD – Theories of human development,n,
Explain the conflicts humans face according to Erikson’s eight psychosocial stages,,Session Outline: HD – Theories of human development,n,
"Differentiate between classical conditioning, operant conditioning, and observational learning",,Session Outline: HD – Theories of human development,n,
Outline the main emphases of humanistic theories of development,,Session Outline: HD – Theories of human development,n,
Summarise the epigenetic psychobiological systems perspective of human development,,Session Outline: HD – Theories of human development,n,
Name newborn reflexes and explain their significance,,Session Outline: HD – Infancy & early childhood development,n,
Describe the heritable and environmental influences on temperament,,Session Outline: HD – Infancy & early childhood development,n,
Describe and identify stages of physical and motor development from birth to 2 years of age,,Session Outline: HD – Infancy & early childhood development,n,
"Classify biological, psychological and social influences on prenatal development 18",,Session Outline: HD – Infancy & early childhood development,n,
Appreciate the ethical dimensions of clinical relationships and the historical role of medical paternalism.,,Session Outline: ETHICS - Medical paternalism,n,
Understand the role of mental health in the burden of disease,,Session Outline: HEP - Introduction - stress and mind-body interactions,n,
Understand the stress and relaxation responses,,Session Outline: HEP - Introduction - stress and mind-body interactions,n,
"Appreciate the effects of stress on body, mental health and lifestyle",,Session Outline: HEP - Introduction - stress and mind-body interactions,n,
Understand the relationship between stress and performance,,Session Outline: HEP - Introduction - stress and mind-body interactions,n,
Appreciate the effects of perception and cognition on stress 19,,Session Outline: HEP - Introduction - stress and mind-body interactions,n,
Discuss the importance of attention and attentional training,,Session Outline: HEP - Mindfulness,n,
Discuss principles of mindfulness-based stress management and cognitive therapy,,Session Outline: HEP - Mindfulness,n,
Discuss clinical applications of mindfulness-based strategies,,Session Outline: HEP - Mindfulness,n,
Explain the terms “Indigenous people”,,Session Outline: HKS - Indigenous health,n,
Describe the unique health risks and determinants of health related to Indigenous populations,,Session Outline: HKS - Indigenous health,n,
Explain the disparity in health status between the Indigenous population and Aboriginal and Torres Strait Islander People and the non-Indigenous Australian population,,Session Outline: HKS - Indigenous health,n,
Outline key government initiatives related to Indigenous health in Australia,,Session Outline: HKS - Indigenous health,n,
Explain the impact of social factors on the health of Indigenous Australians,,Session Outline: HKS - Indigenous health,n,
Describe the barriers to attaining the Close the Gap Campaign goals,,Session Outline: HKS - Indigenous health,n,
Discuss the progress of the targets (benchmarks) of the Closing the Gap strategy,,Session Outline: HKS - Indigenous health,n,
Explain the impact of health professionals and general societal behaviour on access to health care for Indigenous people 20,,Session Outline: HKS - Indigenous health,n,
Know the different types of connective tissue,,Connective tissue,y,Anatomy
Understand the similarities and differences between the different types of connective tissue,,Connective tissue,y,Anatomy
Describe physical development associated with puberty,,Session Outline: HD - Adolescent development,n,
Summarise the developmental tasks of adolescence,,Session Outline: HD - Adolescent development,n,
Describe health conditions prevalent in adolescents,,Session Outline: HD - Adolescent development,n,
Understand the main threats to health with a focus on obesity and risky behaviour and possible underlying causal factors,,Session Outline: HD - Adolescent development,n,
"Identify biological, social and behavioural aspects of coupling and sexual behaviour in adolescence 21",,Session Outline: HD - Adolescent development,n,
"Demonstrate an understanding of adult social relationships including friendship, marriage and divorce",,Session Outline: HD - Adult development,n,
"Demonstrate an appreciation of domestic violence and its impacts, at an introductory level",,Session Outline: HD - Adult development,n,
Demonstrate an understanding of the decision to have children and parenting roles and duties,,Session Outline: HD - Adult development,n,
Demonstrate a capacity to describe the importance of work and career and the need for work/life balance,,Session Outline: HD - Adult development,n,
Demonstrate an appreciation of the impact of unemployment,,Session Outline: HD - Adult development,n,
Demonstrate an understanding of the importance and role of leisure during adulthood and its impact on wellbeing 22,,Session Outline: HD - Adult development,n,
Understand what is meant by informed consent and appreciate its ethical implications,,Session Outline: ETHICS - Informed consent and confidentiality,n,
Understand the ethical obligations that arise from concerns with privacy and confidentiality in clinical contexts,,Session Outline: ETHICS - Informed consent and confidentiality,n,
"Understand the histology and functions of hyaline, elastic and fibro cartilage",,Bones and cartilage,y,Anatomy
Understand the histology and functions of compact and spongy bone 23,,Bones and cartilage,y,Anatomy
Understand that neurons have a difference in electrical charge across their membrane,,Resting membrane potential,y,Physiology
Describe the processes for electrical charge in the semi-permeable membrane and ion movement,,Resting membrane potential,y,Physiology
Apply the Nernst and Goldman-Hodgkin-Katz equation for calculating resting membrane potentials,,Resting membrane potential,y,Physiology
"Learn why a semi-permeable membrane can create a difference in electrical charge across the membrane, and how this can be applied to the nerve cell membrane",,Resting membrane potential,y,Physiology
Understand the difference between a graded and an action potential,,The action potential,y,Physiology
"Understand the concept of threshold, and the properties of the ion channels involved",,The action potential,y,Physiology
Understand the events that return the membrane potential to the resting level after the action potential,,The action potential,y,Physiology
"Understand the concept of refractory periods, the two refractory periods that occur after an AP and how action potentials are propagated",,The action potential,y,Physiology
Understand the role of ion pumps/transporters in recovery 24,,The action potential,y,Physiology
Describe the anatomy of a chemical synapse/electrical synapse,,Synpatic transmission,y,Physiology
Describe general concepts of neurotransmitter production,,Synpatic transmission,y,Physiology
Know how neurotransmitters are released and inactivated at the synapse,,Synpatic transmission,y,Physiology
"Describe the major types of neurotransmission, and the most common excitatory and inhibitory neurotransmitters in the CNS",,Synpatic transmission,y,Physiology
Understand the role of IPSP and EPSPs,,Synpatic transmission,y,Physiology
Explain how the activation of receptors by neurotransmitters is translated into a response,,Synpatic transmission,y,Physiology
Describe the organization and structure of the spinal cord and spinal nerves,,"Spinal cord, neural communication and reflexes",y,Physiology
Describe the main ascending and descending tracts,,"Spinal cord, neural communication and reflexes",y,Physiology
Compare and contrast between spinal reflexes - monosynaptic and polysynaptic reflexes 25,,"Spinal cord, neural communication and reflexes",y,Physiology
Explain the concept of primary health care,,Session Outline: HKS - Primary healthcare in practice,n,
Describe the conditions recommended to enable efficient primary health care,,Session Outline: HKS - Primary healthcare in practice,n,
"Develop an understanding of the use of health indicators to explain between-country differences in population health, which are used to measure the effectiveness of Primary health care and health systems",,Session Outline: HKS - Primary healthcare in practice,n,
Discuss the concept of community development 26,,Session Outline: HKS - Primary healthcare in practice,n,
"Understand the similarities and differences in the three types of muscle (skeletal, cardiac, smooth) in terms of their: o structure o function o distribution o innervation",,Histology of muscle tissue,y,Anatomy
Be able to explain the concepts of the sarcomere and the sliding filament theory,,Histology of muscle tissue,y,Anatomy
Describe the composition of layers of a blood or lymphatic vessel wall,,Histology of muscle tissue,y,Anatomy
"tunica intima, tunica media, tunica adventitia, and elastic laminae",,Histology of muscle tissue,y,Anatomy
Compare and contrast different types of blood and lymphatic vessels with regard to vessel function and histological differences in wall structure,,Histology of muscle tissue,y,Anatomy
"Artery (elastic and muscular), arteriole, capillary, venule, vein, lymphatic capillary",,Histology of muscle tissue,y,Anatomy
Identify different types of blood vessels using histological images 27,,Histology of muscle tissue,y,Anatomy
Describe the field of 'pharmacology',,Introduction to pharmacology,y,Pharmacology
Describe the principles of drug nomenclature,,Introduction to pharmacology,y,Pharmacology
List some useful sources of information about drugs,,Introduction to pharmacology,y,Pharmacology
Describe the criteria that need to be satisfied for a chemical to be designated as a neurotransmitter,,Drugs and neurotransmission,y,Pharmacology
"Describe the basic mechanisms of synthesis, storage, release and termination of action of neurotransmitters",,Drugs and neurotransmission,y,Pharmacology
Describe the chain of events which occur after an action potential arrives at the neuromuscular junction that eventually produces contracture of the skeletal muscle,,Drugs and neurotransmission,y,Pharmacology
Describe mechanisms by which neurotransmission can be modulated,,Drugs and neurotransmission,y,Pharmacology
Explain the actions of non-depolarising drugs at the skeletal neuromuscular junction,,Drugs and neurotransmission,y,Pharmacology
Explain the actions of depolarising drugs at the skeletal neuromuscular junction,,Drugs and neurotransmission,y,Pharmacology
Describe the strategies for treatment of myasthenia gravis 28 Lectures 5 and 6,,Drugs and neurotransmission,y,Pharmacology
Recognise the characteristics and behaviour of cancer cells,,Introduction to cancer and effect of cancer on patients,y,Biochemistry
Explain benign and malignant cancer,,Introduction to cancer and effect of cancer on patients,y,Biochemistry
Explain the tissue effects of localised versus metastatic cancer,,Introduction to cancer and effect of cancer on patients,y,Biochemistry
Explain the effects of accumulated multiple DNA errors/mutations,,Introduction to cancer and effect of cancer on patients,y,Biochemistry
Define how mutations in tumour suppressors and oncogenes predispose to cancer development,,Introduction to cancer and effect of cancer on patients,y,Biochemistry
Describe the features of inherited cancer susceptibility syndrome 29,,Introduction to cancer and effect of cancer on patients,y,Biochemistry
Understand the health impacts of poor nutrition and the therapeutic potential for food as medicine,,Session Outline: HEP - Nutrition,n,
Name and describe the many psychological and social factors which impact upon eating patterns,,Session Outline: HEP - Nutrition,n,
Implement some of the simple behavioural and psychological strategies for improving eating patterns,,Session Outline: HEP - Nutrition,n,
Understand the many health benefits of regular exercise including the amount and intensity of exercise associated with those benefits,,Session Outline: HEP - Exercise,n,
"Recommend the appropriate type, amount and intensity of exercise to meet various health needs",,Session Outline: HEP - Exercise,n,
Know what exercise prescriptions are and how they are used in healthcare settings 30,,Session Outline: HEP - Exercise,n,
Explain the concepts of access and equity in health care,,Session Outline: HKS - Access to healthcare,n,
Differentiate between accessibility and availability of health care,,Session Outline: HKS - Access to healthcare,n,
Identify the groups of people most at risk of poor access and the ways in which this factor affects health equity,,Session Outline: HKS - Access to healthcare,n,
Describe the workforce issues contributing to poor access to healthcare in Australia,,Session Outline: HKS - Access to healthcare,n,
Identify the cellular and non-cellular components of blood,,Composition of blood and haemopoiesis,y,Pathology
"Outline the process of haemopoiesis, sites of haemopoiesis and the key requirements for normal cell production",,Composition of blood and haemopoiesis,y,Pathology
"Describe the normal appearance, structure and function of erythrocytes",,Composition of blood and haemopoiesis,y,Pathology
Describe the normal appearance of leukocytes in the peripheral blood and their function,,Composition of blood and haemopoiesis,y,Pathology
Name the routine laboratory tests for blood parameters,,Composition of blood and haemopoiesis,y,Pathology
Use the correct terms for some common abnormalities 31,,Composition of blood and haemopoiesis,y,Pathology
Identify factors involved in blood coagulation,,Haemostasis and coagulation,y,Pathology
"Outline processes of blood coagulation (the intrinsic, extrinsic, and common pathways) that lead to the formation of stable fibrin clots",,Haemostasis and coagulation,y,Pathology
Outline the process of fibrinolysis,,Haemostasis and coagulation,y,Pathology
Name the routine laboratory tests for coagulation studies,,Haemostasis and coagulation,y,Pathology
Identify some common coagulopathies,,Haemostasis and coagulation,y,Pathology
Identify general properties of cancer cells,,Anticancer drugs,y,Pharmacology
Outline the principles of cancer therapy,,Anticancer drugs,y,Pharmacology
Identify targets for anticancer drugs,,Anticancer drugs,y,Pharmacology
Describe the mechanism of action of classic cytotoxic drugs,,Anticancer drugs,y,Pharmacology
Discuss the major adverse effects of anticancer drug therapy,,Anticancer drugs,y,Pharmacology
Discuss strategies for the management of adverse effects,,Anticancer drugs,y,Pharmacology
Describe the mechanism of action of novel anticancer drugs,,Anticancer drugs,y,Pharmacology
Describe common clinical approaches to drug therapy and the limitations of cancer chemotherapy 32,,Anticancer drugs,y,Pharmacology
Identify the possible outcomes for cells subjected to harmful stimuli or injurious agents,,Cellular and tissue response to injury,y,Pathology
Consider the various effects of stimuli or injury on tissues,,Cellular and tissue response to injury,y,Pathology
"Learn and understand the terms; hyperplasia, hypertrophy, atrophy and metaplasia",,Cellular and tissue response to injury,y,Pathology
"Define different tissue types; labile, stable, permanent",,Cellular and tissue response to injury,y,Pathology
Identify causes of cell injury,,Cellular and tissue response to injury,y,Pathology
Describe the three domain structure of the living world,,Introduction to microbes,y,Microbiology
Compare the structure and functions of prokaryotes and eukaryotes,,Introduction to microbes,y,Microbiology
Identify the differences between bacteria and viruses,,Introduction to microbes,y,Microbiology
Articulate the different methods that bacteria and viruses use to replicate 33,,Introduction to microbes,y,Microbiology
"Describe the natural barriers of the human body to infection, and discuss the innate defence mechanisms: o Anatomical o Mechanical o Antimicrobial/Chemical factors o Cellular components",,"Natural Barriers, Innate Defenses and the Host-parasite relationship",y,Microbiology
"Appreciate the role of the normal flora / microbiota of the human body, and where it is present",,"Natural Barriers, Innate Defenses and the Host-parasite relationship",y,Microbiology
Define the different host-parasite interactions which occur in humans,,"Natural Barriers, Innate Defenses and the Host-parasite relationship",y,Microbiology
Explain the different parts in the chain of infection,,Strategies and control,y,Microbiology
Describe ways to control microbial growth,,Strategies and control,y,Microbiology
Describe the principles and agents used for sterilization disinfection and antisepsis,,Strategies and control,y,Microbiology
Relate the importance of the control of nosocomial infections in the healthcare setting with particular reference to hand hygiene 34,,Strategies and control,y,Microbiology
"Appreciate the importance and impact of fungal infections globally, particularly in the immunocompromised",,Fungal infections,y,Microbiology
Explain the transmission and spread of fungal infections,,Fungal infections,y,Microbiology
Describe common types of fungal infections and their diagnosis,,Fungal infections,y,Microbiology
Discuss using examples fungal pathogens of major importance,,Fungal infections,y,Microbiology
Appreciate the impacts of fungal infections in the healthcare setting and the community 35,,Fungal infections,y,Microbiology
Understand the many ways in which one can look at what environment is,,Session Outline: HEP - Environment,n,
Appreciate the impact of environment on many aspects of health,,Session Outline: HEP - Environment,n,
Consider the ways in which one can create a healthy environment,,Session Outline: HEP - Environment,n,
Outline the health and social issues faced by refugees and asylum seekers in the community,,Session Outline: HKS - Refugee and asylum seeker health,n,
Describe the specific health issues faced by asylum seekers incarcerated in detention centers in Australia,,Session Outline: HKS - Refugee and asylum seeker health,n,
Locate the appropriate clinical resources available in refugee and asylum seeker health in Australia,,Session Outline: HKS - Refugee and asylum seeker health,n,
Demonstrate an introductory understanding of the current political environment regarding the entry of asylum seekers into Australia 36,,Session Outline: HKS - Refugee and asylum seeker health,n,
Explain the barriers to prevent infection,,Innate responses to pathogens,y,Immunolology
Identify the cells that comprise the innate immune system,,Innate responses to pathogens,y,Immunolology
Describe pathogen profiling as a quick and dirty way to differentiate pathogens from self-antigens,,Innate responses to pathogens,y,Immunolology
Describe how immune cells are directed to sites of infection,,Innate responses to pathogens,y,Immunolology
Explain how antigen is processed and presented,,The adaptive immune system,y,Immunolology
Explain how B and T cell receptors identify their specific antigen,,The adaptive immune system,y,Immunolology
Describe the functions of CD4 and CD8 T cells,,The adaptive immune system,y,Immunolology
Describe the function of B cells and identify the different antibodies produced 37,,The adaptive immune system,y,Immunolology
Compare and contrast the innate and adaptive immune responses,,Infection and immunity,y,Immunolology
Identify the key immune players and explain their functions during SARS-CoV-2 infection,,Infection and immunity,y,Immunolology
Describe an allergic immune response to pollen,,Infection and immunity,y,Immunolology
Explain the mechanism by which cancer cells evade the immune response through checkpoint blockade 38,,Infection and immunity,y,Immunolology
Understand the concept of healthy aging,,Session Outline: HD - Normal ageing,n,
Understand and apply the Competence-environmental stress model,,Session Outline: HD - Normal ageing,n,
Understand the Preventative and corrective proactivity model,,Session Outline: HD - Normal ageing,n,
Understand the key developmental issues relating to normal aging Part 2 (Personal Context),,Session Outline: HD - Normal ageing,n,
Apply the Lifespan development theory to aging,,Session Outline: HD - Normal ageing,n,
Apply Bronfenbrenner's ecological approach to aging,,Session Outline: HD - Normal ageing,n,
Describe the physiological and cognitive changes associated with aging,,Session Outline: HD - Normal ageing,n,
Understand the contribution of lifestyle and chronic disease to aging,,Session Outline: HD - Normal ageing,n,
"Describe the four Mental health syndromes (Depression, Anxiety, Cognitive impairment and Psychosis) as they present in older adults 39",,Session Outline: HD - Normal ageing,n,
Understand the definition of death,,Session Outline: HD - Death and dying,n,
Know the factors influencing the experience of death,,Session Outline: HD - Death and dying,n,
"Know how to recognize dying - the Surprise Question, the SPICT tool, the illness trajectories",,Session Outline: HD - Death and dying,n,
Know the stages of dying,,Session Outline: HD - Death and dying,n,
Know care of the dying patient,,Session Outline: HD - Death and dying,n,
Understand bereavement and grieving,,Session Outline: HD - Death and dying,n,
Understand advanced care planning,,Session Outline: HD - Death and dying,n,
Understand voluntary assisted dying,,Session Outline: HD - Death and dying,n,
Know care of self 40,,Session Outline: HD - Death and dying,n,
"Understand the relationship between connectedness, social support and health",,Session Outline: HEP - Connectedness,n,
Understand the potential health advantages and disadvantages dependent upon one’s extent and quality of social support,,Session Outline: HEP - Connectedness,n,
Know some of the mind body mechanisms for understanding the impact of social health on physical health,,Session Outline: HEP - Connectedness,n,
Know the effects of social support or isolation at different stages of life,,Session Outline: HEP - Connectedness,n,
"Define and distinguish between meaning, spirituality and religion",,Session Outline: HEP - Spirituality,n,
Understand the wide variety of ways in which individuals and cultures explore and express spirituality,,Session Outline: HEP - Spirituality,n,
Understand the need for tolerance and respect between different individuals and cultural groups,,Session Outline: HEP - Spirituality,n,
Understand the role of spirituality in healthcare,,Session Outline: HEP - Spirituality,n,
Know the relevance of these issues in clinical settings 41,,Session Outline: HEP - Spirituality,n,
Understand the basic context of human rights,,Session Outline: HKS – Health and human rights,n,
Discuss the relevance of human rights and social justice issues to health,,Session Outline: HKS – Health and human rights,n,
Evaluate the ways in which human rights impact on health,,Session Outline: HKS – Health and human rights,n,
Define antibiotic resistance and appreciate its impact in the health care setting,,Antimicrobial resistance and resistance transfer,y,Microbiology
List the major targets of antimicrobial agents and relate them to the differences between bacteria and eukaryotes,,Antimicrobial resistance and resistance transfer,y,Microbiology
Describe the mechanisms of antibiotic resistance and how it can be transferred,,Antimicrobial resistance and resistance transfer,y,Microbiology
Explain the drivers of antibiotic resistance and how a One-Health approach can combat them 42,,Antimicrobial resistance and resistance transfer,y,Microbiology
Appreciate the wide range of parasitic infections from single celled protozoa to multicellular 10 metre long intestinal worms!,,Parasitic infections,y,Microbiology
Recognise that the majority of globally important parasitic infections are Neglected Tropical Diseases and are diseases of poor sanitation,,Parasitic infections,y,Microbiology
Contrast parasites’ very complex lifecycles to the simplicity of bacteria and viruses,,Parasitic infections,y,Microbiology
"Describe some examples of protozoan and helminth infections, how they are transmitted and how we diagnose them",,Parasitic infections,y,Microbiology
"Describe the basic principles of pharmacokinetics relating to drug absorption, distribution, metabolism and excretion",,Introduction to pharmacokinetics,y,Pharmacology
Explain the advantages and disadvantages of different routes of administration,,Introduction to pharmacokinetics,y,Pharmacology
"Discuss how a knowledge of pharmacokinetics of a drug is important when considering the route of administration, the dosing schedule, and ways of achieving therapeutic levels whilst avoiding toxicity",,Introduction to pharmacokinetics,y,Pharmacology
